Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
Honda City VX CVT PETROL,Delhi,2015,"38,288",Petrol,1st,"6,85,000"
Hyundai Grand i10 MAGNA 1.2 VTVT,Delhi,2015,"57,159",Petrol + CNG,1st,"3,79,500"
Tata Nano TWIST XTA,Delhi,2015,"37,315",Petrol,2nd,"1,25,000"
Maruti Swift VXI,Delhi,2015,"51,149",Petrol + CNG,2nd,"4,00,000"
Hyundai i10 SPORTZ 1.2 KAPPA2,Delhi,2012,"44,044",Petrol,1st,"2,35,000"
Chevrolet Beat LT PETROL,Delhi,2015,"26,824",Petrol,1st,"2,42,000"
Renault Kwid RXL,Delhi,2017,"28,910",Petrol + CNG,1st,"2,60,000"
Maruti Wagon R 1.0 LXI,Delhi,2014,"57,152",Petrol,2nd,"2,39,000"
Renault Kwid RXT,Delhi,2016,"44,532",Petrol + CNG,1st,"2,25,000"
Maruti Wagon R 1.0 LXI CNG,Delhi,2015,"54,224",Petrol + CNG,2nd,"2,85,000"
Volkswagen Polo COMFORTLINE 1.2L PETROL,Delhi,2013,"48,078",Petrol,1st,"3,43,000"
Hyundai VENUE 1.0 SX TURBO GDI DUAL TONE,Delhi,2019,"14,890",Petrol,1st,"9,25,000"
Maruti Ertiga VXI CNG,Delhi,2016,"52,156",Petrol + CNG,1st,"6,14,500"
Hyundai Creta 1.6 SX (O) CRDI,Delhi,2016,"60,963",Diesel,1st,"8,25,000"
Hyundai i10 MAGNA 1.2,Delhi,2010,"76,357",Petrol,1st,"1,67,500"
Toyota Glanza V CVT,Delhi,2019,"11,432",Petrol,1st,"7,62,500"
Chevrolet Cruze LTZ AT,Delhi,2013,"65,595",Diesel,2nd,"4,25,000"
Hyundai Creta 1.6 SX PLUS AUTO PETROL,Delhi,2016,"52,112",Petrol,1st,"8,75,000"
Ford Ecosport 1.5 TREND TI VCT,Delhi,2016,"54,144",Petrol,1st,"5,90,000"
Nissan MAGNITE XL MT,Delhi,2021,241,Petrol,1st,"6,65,000"
Volkswagen Polo COMFORTLINE 1.2L PETROL,Delhi,2011,"62,220",Petrol,1st,"2,50,000"
Maruti Swift LXI,Delhi,2019,"6,779",Petrol,1st,"5,20,500"
Hyundai Verna FLUIDIC 1.6 VTVT S,Delhi,2016,"48,445",Petrol,1st,"5,63,000"
Maruti Ertiga VDI ABS,Delhi,2013,"51,981",Diesel,1st,"4,72,099"
Hyundai Elite i20 MAGNA 1.2,Delhi,2015,"61,227",Petrol,1st,"4,33,099"
Toyota Innova Crysta 2.4 GX 7 STR,Delhi,2018,"16,994",Diesel,1st,"14,48,899"
Hyundai i20 SPORTZ 1.4 CRDI,Delhi,2013,"69,046",Diesel,1st,"3,74,499"
Maruti Swift Dzire VDI BS IV,Delhi,2014,"98,400",Diesel,1st,"3,53,099"
Maruti Swift Dzire VDI BS IV,Delhi,2013,"44,284",Diesel,1st,"3,89,699"
Hyundai Elite i20 SPORTZ 1.2,Delhi,2017,"6,210",Petrol,1st,"5,57,899"
Hyundai Elite i20 SPORTZ 1.4,Delhi,2015,"53,523",Diesel,1st,"4,20,599"
Honda City VX MT DIESEL,Delhi,2014,"65,090",Diesel,2nd,"4,83,599"
Toyota Fortuner 3.0 MT 4X2,Delhi,2013,"97,330",Diesel,2nd,"9,15,299"
Maruti Ciaz VDI PLUS,Delhi,2015,"78,595",Diesel,1st,"4,23,499"
Maruti Wagon R 1.0 LXI,Delhi,2013,"88,265",Petrol,1st,"2,53,199"
Honda Amaze 1.5 EMT I DTEC,Delhi,2014,"95,697",Diesel,1st,"3,38,899"
Honda Amaze 1.5 SMT I DTEC,Delhi,2015,"1,15,081",Diesel,1st,"3,58,599"
Maruti Swift Dzire VXI,Delhi,2008,"1,23,467",Petrol + CNG,1st,"1,79,299"
Hyundai Creta 1.4 E PLUS CRDI,Delhi,2017,"1,02,223",Diesel,1st,"7,53,399"
Hyundai Grand i10 SPORTZ 1.1 CRDI SPECIAL EDITION,Delhi,2014,"1,23,729",Diesel,1st,"2,89,099"
Maruti Celerio VXI CNG,Delhi,2016,"1,04,962",Petrol + CNG,1st,"3,08,699"
Hyundai Creta 1.6 SX CRDI,Delhi,2016,"1,24,602",Diesel,1st,"7,88,499"
Volkswagen Polo HIGHLINE1.5L DIESEL,Delhi,2015,"86,855",Diesel,1st,"3,69,999"
Hyundai Eon ERA PLUS,Delhi,2013,"45,721",Petrol,1st,"2,06,399"
Maruti Swift LXI,Delhi,2017,"29,989",Petrol,1st,"4,07,699"
Hyundai Elite i20 Magna Executive 1.2,Delhi,2017,"52,887",Petrol,1st,"4,65,399"
Maruti Wagon R 1.0 LXI CNG,Delhi,2018,"77,097",Petrol + CNG,2nd,"3,24,399"
Hyundai i20 SPORTZ O 1.4 CRDI,Delhi,2012,"1,38,000",Diesel,1st,"2,42,399"
Maruti Baleno DELTA 1.2 K12,Delhi,2019,"46,882",Petrol,2nd,"4,98,499"
Hyundai NEW SANTRO 1.1 SPORTS AMT,Delhi,2020,"4,369",Petrol,1st,"5,87,199"
Maruti Alto K10 LXI,Delhi,2012,"46,703",Petrol,1st,"2,37,299"
Maruti Alto LXI,Delhi,2020,"3,942",Petrol,1st,"3,87,099"
Hyundai Elite i20 ASTA 1.2,Delhi,2018,"19,013",Petrol,2nd,"6,43,799"
Maruti Alto K10 VXI,Delhi,2016,"18,003",Petrol,1st,"3,20,099"
Maruti Alto K10 VXI AMT,Delhi,2016,"2,26,232",Petrol,1st,"3,08,099"
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Delhi,2016,"60,011",Petrol,1st,"3,82,999"
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Delhi,2019,"21,602",Petrol,2nd,"5,03,599"
Hyundai Eon D LITE PLUS,Delhi,2013,"49,817",Petrol,1st,"2,11,399"
Maruti Alto K10 VXI,Delhi,2010,"63,718",Petrol,2nd,"1,99,499"
Maruti Swift VXI,Delhi,2017,"24,813",Petrol,1st,"5,36,299"
Hyundai NEW SANTRO 1.1 MAGNA MT,Delhi,2019,"8,632",Petrol,1st,"4,30,599"
Maruti Alto K10 VXI,Delhi,2018,"34,323",Petrol,2nd,"3,54,299"
Honda City S MT PETROL,Delhi,2010,"76,740",Petrol,3rd,"3,04,599"
Hyundai Elite i20 Magna Executive 1.2,Delhi,2017,"77,341",Petrol,3rd,"4,37,099"
Maruti Alto LXI,Delhi,2019,"41,638",Petrol,1st,"3,45,899"
Toyota Innova Crysta 2.8 GX AT 7 STR,Delhi,2019,"30,729",Diesel,1st,"17,30,399"
Maruti Swift VDI ABS,Delhi,2017,"35,172",Diesel,1st,"4,98,699"
Maruti Swift VXI,Delhi,2015,"62,241",Petrol,2nd,"4,09,599"
Maruti Alto K10 VXI,Delhi,2017,"1,06,867",Petrol,1st,"3,63,699"
Maruti Swift ZDI,Delhi,2012,"1,05,358",Diesel,3rd,"3,72,199"
Maruti Alto K10 VXI,Delhi,2017,"57,500",Petrol,1st,"3,19,999"
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Delhi,2014,"86,663",Petrol,1st,"3,81,999"
Maruti Vitara Brezza VDI,Delhi,2017,"79,275",Diesel,1st,"6,97,499"
Maruti Vitara Brezza VDI,Delhi,2017,"69,639",Diesel,2nd,"6,45,999"
Maruti Swift Dzire VDI ABS,Delhi,2016,"78,339",Diesel,2nd,"5,30,799"
Hyundai Elite i20 SPORTZ 1.4,Delhi,2016,"1,09,448",Diesel,1st,"4,49,699"
Maruti Swift VDI,Delhi,2013,"1,04,098",Diesel,1st,"3,61,399"
Jeep Compass 2.0 SPORT,Delhi,2019,"44,585",Diesel,2nd,"11,15,399"
Honda Amaze 1.2 VXMT I VTEC,Delhi,2013,"1,47,498",Petrol,1st,"3,09,099"
Maruti Dzire VDI,Delhi,2018,"93,652",Diesel,1st,"6,17,399"
Hyundai Creta 1.6 SX CRDI,Delhi,2016,"1,99,241",Diesel,1st,"7,40,999"
Toyota Etios GD,Delhi,2015,"1,84,158",Diesel,1st,"3,66,599"
Toyota Etios GD,Delhi,2012,"2,12,989",Diesel,1st,"2,38,999"
Toyota Fortuner 3.0 MT 4X4,Delhi,2012,"96,301",Diesel,2nd,"9,86,099"
Maruti Alto LXI,Delhi,2008,"21,728",Petrol,2nd,"1,37,699"
Maruti Vitara Brezza VDI OPT,Delhi,2017,"52,351",Diesel,1st,"6,88,099"
Maruti Alto K10 VXI OPT,Delhi,2016,"67,755",Petrol,1st,"2,83,399"
Ford Endeavour 2.5L 4X2,Delhi,2010,"1,15,143",Diesel,4th,"3,85,699"
Ford Figo 1.2 TITANIUM DURATEC,Delhi,2010,"11,500",Petrol,1st,"1,79,499"
Maruti Alto 800 VXI,Delhi,2016,"24,069",Petrol,1st,"2,83,899"
Maruti Alto LXI,Delhi,2010,"30,754",Petrol,1st,"1,64,299"
Maruti A Star VXI ABS AT,Delhi,2013,"15,346",Petrol,2nd,"2,50,099"
Maruti Alto K10 VXI,Delhi,2011,"51,523",Petrol,1st,"1,93,399"
Maruti Swift LXI,Delhi,2020,"1,568",Petrol,1st,"5,46,099"
Maruti Swift Dzire VDI BS IV,Delhi,2012,"49,510",Diesel,1st,"3,39,499"
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Delhi,2015,"29,370",Petrol,1st,"4,26,499"
Maruti Baleno DELTA 1.2 K12,Delhi,2017,"18,533",Petrol,1st,"5,39,299"
Hyundai NEW SANTRO SPORTZ 1.1,Delhi,2019,"16,172",Petrol,1st,"4,55,299"
Maruti Zen Estilo VXI,Delhi,2009,"37,434",Petrol,1st,"1,98,999"
Toyota Etios Liva G,Delhi,2011,"66,960",Petrol,2nd,"2,37,199"
Maruti Alto LXI,Delhi,2019,"16,411",Petrol,1st,"3,31,199"
Maruti Alto 800 LXI,Delhi,2014,"26,470",Petrol,1st,"2,30,499"
Honda City S MT PETROL,Delhi,2010,"35,578",Petrol,1st,"3,84,399"
Toyota Corolla Altis G,Delhi,2013,"55,233",Petrol,2nd,"5,16,199"
Hyundai Creta SX PETROL MT,Delhi,2020,"7,383",Petrol,1st,"13,60,899"
Maruti Baleno DELTA 1.2 K12,Delhi,2016,"43,864",Petrol,1st,"4,46,499"
Toyota Etios Liva GD,Delhi,2012,"61,443",Diesel,1st,"3,04,899"
Hyundai Grand i10 SPORTS 1.2 VTVT,Delhi,2016,"72,908",Petrol,1st,"3,93,199"
Hyundai Xcent SX 1.1 CRDI OPT,Delhi,2014,"64,289",Diesel,1st,"3,08,399"
Hyundai Elite i20 Magna Executive 1.2,Delhi,2017,"34,782",Petrol,1st,"4,96,099"
Maruti Alto LXI,Delhi,2007,"57,718",Petrol,2nd,"92,799"
Volkswagen Ameo COMFORTLINE 1.2,Delhi,2016,"66,204",Petrol,2nd,"3,62,599"
Hyundai Verna FLUIDIC 1.6 CRDI S,Delhi,2015,"63,987",Diesel,2nd,"5,33,999"
Hyundai Creta 1.4 E PLUS CRDI,Delhi,2018,"43,362",Diesel,1st,"10,28,399"
Maruti Vitara Brezza VDI,Delhi,2018,"38,325",Diesel,1st,"7,40,799"
Hyundai i10 SPORTZ 1.2,Delhi,2008,"69,766",Petrol,1st,"1,59,699"
Honda City VX MT DIESEL,Delhi,2014,"74,867",Diesel,2nd,"4,90,799"
Hyundai Elite i20 MAGNA 1.4 CRDI,Delhi,2015,"78,343",Diesel,1st,"4,14,099"
Toyota YARIS G CVT,Delhi,2019,"11,540",Petrol,1st,"8,98,199"
Ford Ecosport 1.5TITANIUM TDCI,Delhi,2014,"1,24,540",Diesel,1st,"4,22,999"
Honda Amaze 1.5 SMT I DTEC,Delhi,2014,"71,704",Diesel,1st,"3,02,999"
Hyundai Creta 1.6 CRDI SX PLUS AUTO,Delhi,2016,"81,719",Diesel,1st,"9,78,399"
Hyundai Verna FLUIDIC 1.6 SX CRDI,Delhi,2012,"1,00,752",Diesel,1st,"3,49,499"
Hyundai Verna 1.4 CRDi EX MT,Delhi,2018,"57,917",Diesel,1st,"7,88,399"
Maruti Swift VDI,Delhi,2013,"72,286",Diesel,1st,"4,33,899"
Maruti Swift VDI,Delhi,2012,"1,13,073",Diesel,1st,"2,66,999"
Maruti Alto K10 VXI,Delhi,2013,"1,17,497",Petrol,1st,"2,22,499"
Maruti Vitara Brezza VDI,Delhi,2019,"38,213",Diesel,1st,"7,38,199"
Hyundai Creta 1.6 SX CRDI,Delhi,2017,"90,077",Diesel,1st,"8,22,399"
Maruti Alto LXI,Delhi,2007,"59,676",Petrol,1st,"1,01,499"
Toyota Corolla Altis D 4D J,Delhi,2014,"1,03,033",Diesel,1st,"6,83,499"
Volkswagen Polo HIGHLINE1.5L DIESEL,Delhi,2015,"1,41,160",Diesel,1st,"3,50,299"
Hyundai Elite i20 SPORTZ 1.4,Delhi,2018,"1,01,178",Diesel,1st,"5,48,599"
Nissan Sunny XL DIESEL,Delhi,2012,"1,13,365",Diesel,2nd,"2,77,599"
Mahindra XUV500 W10,Delhi,2015,"92,400",Diesel,2nd,"7,83,699"
Audi A4 2.0 TDI PREMIUM PLUS,Delhi,2012,"90,722",Diesel,2nd,"9,10,999"
Toyota Corolla Altis D 4D JS,Delhi,2013,"1,11,861",Diesel,1st,"4,26,999"
Mercedes Benz E Class E 250 CDI CLASSIC,Delhi,2014,"93,852",Diesel,1st,"14,20,099"
Toyota Fortuner 3.0 MT 4X2,Delhi,2016,"1,29,309",Diesel,1st,"16,37,599"
Toyota Fortuner 3.0 AT 4X2,Delhi,2012,"1,21,632",Diesel,1st,"11,29,899"
Honda City S MT PETROL,Delhi,2009,"99,836",Petrol,1st,"2,22,899"
Maruti Eeco 5 STR WITH AC PLUSHTR,Hyderabad,2020,"3,649",Petrol,1st,"4,55,899"
Maruti Alto LXI,Hyderabad,2011,"26,790",Petrol,1st,"2,37,099"
Maruti Alto LXI,Hyderabad,2011,"23,837",Petrol,1st,"2,34,199"
Maruti Wagon R 1.0 VXI,Hyderabad,2014,"23,233",Petrol,2nd,"3,57,399"
Maruti Alto K10 LXI,Hyderabad,2011,"47,330",Petrol,2nd,"2,28,099"
Maruti Ritz VXI BS IV,Hyderabad,2011,"19,662",Petrol,1st,"3,00,499"
Maruti Wagon R 1.0 VXI,Hyderabad,2011,"61,836",Petrol,2nd,"3,01,199"
Maruti Zen Estilo VXI,Hyderabad,2010,"21,096",Petrol,1st,"2,59,899"
Maruti Alto LXI,Hyderabad,2012,"28,434",Petrol,1st,"2,46,299"
Maruti Swift VXI,Hyderabad,2011,"46,592",Petrol,1st,"3,95,899"
Maruti Alto 800 LXI,Hyderabad,2014,"27,884",Petrol,1st,"2,61,999"
Maruti Alto LXI,Hyderabad,2011,"31,119",Petrol,1st,"2,39,299"
Maruti Alto LXI,Hyderabad,2012,"21,215",Petrol,1st,"2,53,199"
Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2013,"55,302",Petrol,1st,"3,49,499"
Maruti Alto LXI,Hyderabad,2011,"23,658",Petrol,1st,"2,26,599"
Maruti Alto K10 VXI,Hyderabad,2012,"28,852",Petrol,2nd,"2,80,599"
Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2013,"35,377",Petrol,1st,"3,67,199"
Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2012,"44,883",Petrol,1st,"3,27,499"
Maruti Alto LXI,Hyderabad,2011,"35,039",Petrol,1st,"2,24,899"
Maruti Alto K10 LXI,Hyderabad,2011,"56,816",Petrol,1st,"2,15,299"
Maruti Alto LXI,Hyderabad,2012,"37,800",Petrol,1st,"2,64,099"
Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2011,"35,533",Petrol,1st,"2,99,899"
Maruti Alto 800 VXI,Hyderabad,2015,"25,048",Petrol,2nd,"2,90,099"
Maruti Wagon R 1.0 VXI,Hyderabad,2010,"65,373",Petrol,1st,"2,89,999"
Maruti Ritz VXI BS IV,Hyderabad,2012,"50,307",Petrol,1st,"3,37,499"
Maruti Alto K10 LXI,Hyderabad,2011,"47,359",Petrol,2nd,"2,25,599"
Maruti Alto 800 LXI,Hyderabad,2014,"32,206",Petrol,1st,"2,54,699"
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyderabad,2016,"23,312",Petrol,1st,"4,53,699"
Maruti Wagon R 1.0 VXI,Hyderabad,2013,"21,885",Petrol,1st,"3,28,099"
Maruti Alto 800 VXI,Hyderabad,2015,"29,145",Petrol,1st,"2,97,899"
Maruti Eeco 5 STR WITH AC PLUSHTR,Hyderabad,2018,"18,791",Petrol,1st,"4,16,799"
Hyundai Santro Xing GLS LPG,Hyderabad,2011,"54,368",Petrol + LPG,1st,"2,51,899"
Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2013,"48,257",Petrol,1st,"3,57,099"
Hyundai i10 SPORTZ 1.2 KAPPA2,Hyderabad,2011,"54,118",Petrol,2nd,"3,04,899"
Hyundai i10 SPORTZ 1.2 KAPPA2,Hyderabad,2011,"57,568",Petrol,2nd,"3,02,299"
Maruti Alto K10 VXI,Hyderabad,2012,"62,592",Petrol,2nd,"2,30,399"
Maruti Alto K10 LXI,Hyderabad,2012,"36,870",Petrol,2nd,"2,53,199"
Maruti Alto LXI,Hyderabad,2010,"57,741",Petrol,2nd,"1,95,699"
Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2011,"63,009",Petrol,1st,"2,98,799"
Maruti Alto K10 VXI,Hyderabad,2012,"48,979",Petrol,1st,"2,43,199"
Maruti Alto LXI,Hyderabad,2011,"59,373",Petrol,2nd,"2,19,799"
Maruti Wagon R 1.0 VXI,Hyderabad,2015,"39,371",Petrol,1st,"3,66,899"
Maruti Alto LXI,Hyderabad,2011,"36,704",Petrol,2nd,"2,18,999"
Hyundai i10 ERA,Hyderabad,2008,"83,568",Petrol,2nd,"2,21,699"
Datsun Go Plus T,Hyderabad,2016,"32,405",Petrol,1st,"2,83,499"
Maruti Alto 800 LXI,Hyderabad,2015,"34,103",Petrol,1st,"2,58,699"
Hyundai i10 MAGNA 1.2,Hyderabad,2010,"71,355",Petrol,2nd,"2,80,899"
Hyundai i10 MAGNA 1.2,Hyderabad,2010,"23,488",Petrol,1st,"3,21,099"
Hyundai i10 SPORTZ 1.2 AT KAPPA2,Hyderabad,2011,"60,185",Petrol,2nd,"3,41,699"
Hyundai i10 SPORTZ 1.2 KAPPA2,Hyderabad,2011,"66,015",Petrol,2nd,"3,19,799"
Hyundai i10 MAGNA,Hyderabad,2009,"37,980",Petrol,1st,"2,68,599"
Maruti Alto K10 VXI,Hyderabad,2013,"33,274",Petrol,1st,"2,53,099"
Maruti Wagon R 1.0 VXI,Hyderabad,2013,"45,460",Petrol,2nd,"3,11,599"
Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2012,"50,097",Petrol,2nd,"3,17,799"
Maruti Wagon R Stingray VXI,Hyderabad,2013,"51,120",Petrol,2nd,"3,51,999"
Maruti Alto 800 LXI,Hyderabad,2014,"43,615",Petrol,1st,"2,42,699"
Honda City S MT PETROL,Hyderabad,2015,"39,983",Petrol,1st,"5,46,599"
Maruti Alto K10 LXI,Hyderabad,2010,"10,910",Petrol,1st,"1,94,399"
Hyundai Santro Xing GLS,Hyderabad,2012,"30,692",Petrol,1st,"2,74,399"
Maruti Eeco 5 STR WITH AC PLUSHTR,Hyderabad,2020,"17,082",Petrol,1st,"4,09,899"
Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2012,"46,986",Petrol,1st,"3,29,299"
Maruti Swift Dzire LXI 1.2 BS IV,Hyderabad,2010,"55,074",Petrol,1st,"3,14,599"
Hyundai i10 MAGNA 1.2,Hyderabad,2008,"94,989",Petrol,1st,"2,40,299"
Maruti Alto K10 VXI,Hyderabad,2012,"58,012",Petrol,2nd,"2,68,599"
Maruti Alto K10 VXI,Hyderabad,2011,"73,025",Petrol,2nd,"2,11,899"
Maruti Wagon R 1.0 LXI CNG,Hyderabad,2011,"69,000",Petrol + CNG,2nd,"2,95,899"
Hyundai i10 SPORTZ 1.2 KAPPA2,Hyderabad,2011,"68,764",Petrol,2nd,"2,93,099"
Maruti Alto 800 LXI,Hyderabad,2018,"7,885",Petrol,1st,"3,24,499"
Maruti Eeco 5 STR WITH AC PLUSHTR,Hyderabad,2019,"10,025",Petrol,1st,"4,46,899"
Chevrolet Beat PS DIESEL,Hyderabad,2013,"49,994",Diesel,1st,"2,06,599"
Hyundai i10 SPORTZ 1.2 KAPPA2,Hyderabad,2012,"65,288",Petrol,1st,"3,57,399"
Maruti Wagon R 1.0 VXI,Hyderabad,2011,"65,981",Petrol,2nd,"3,06,999"
Maruti Alto LXI,Hyderabad,2012,"34,881",Petrol,1st,"2,33,299"
Maruti Wagon R 1.0 LXI CNG,Hyderabad,2011,"66,202",Petrol + CNG,1st,"2,84,999"
Maruti Wagon R 1.0 VXI,Hyderabad,2012,"46,828",Petrol,2nd,"3,03,499"
Maruti Alto 800 LXI,Hyderabad,2018,"20,687",Petrol,2nd,"3,32,599"
Hyundai Santro Xing GLS,Hyderabad,2008,"53,180",Petrol,2nd,"1,94,199"
Hyundai i20 SPORTZ 1.2 O,Hyderabad,2010,"63,614",Petrol,1st,"3,73,399"
Maruti Eeco 5 STR WITH AC PLUSHTR,Hyderabad,2019,"8,647",Petrol,1st,"4,30,199"
Hyundai i10 SPORTZ 1.2 AT KAPPA2,Hyderabad,2011,"70,484",Petrol,2nd,"3,23,299"
Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2011,"72,242",Petrol,3rd,"2,95,699"
Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2011,"73,867",Petrol,1st,"2,75,399"
Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2013,"57,200",Petrol,1st,"3,44,999"
Maruti Eeco 5 STR WITH AC PLUSHTR,Hyderabad,2019,"21,402",Petrol,1st,"4,49,199"
Tata Tiago XT 1.2 REVOTRON,Hyderabad,2018,"23,745",Petrol,1st,"4,30,299"
Hyundai Santro Xing GLS,Hyderabad,2008,"98,277",Petrol + LPG,1st,"1,93,799"
Maruti Swift Dzire VXI 1.2 BS IV,Hyderabad,2013,"58,065",Petrol,2nd,"4,38,899"
Maruti Alto LXI,Hyderabad,2011,"66,212",Petrol,2nd,"2,10,899"
Maruti Alto LXI,Hyderabad,2012,"64,304",Petrol,1st,"2,38,099"
Maruti Alto LXI,Hyderabad,2010,"59,344",Petrol,2nd,"1,96,399"
Maruti Eeco 5 STR WITH AC PLUSHTR,Hyderabad,2019,"17,802",Petrol,1st,"4,11,599"
Maruti Alto 800 LXI,Hyderabad,2018,"17,394",Petrol,1st,"3,22,199"
Hyundai Santro Xing GLS,Hyderabad,2008,"41,859",Petrol,1st,"1,91,699"
Maruti Alto LXI,Hyderabad,2009,"60,584",Petrol,2nd,"1,82,099"
Hyundai i20 MAGNA O 1.2,Hyderabad,2010,"68,124",Petrol,2nd,"3,42,499"
Maruti Alto LXI,Hyderabad,2009,"54,950",Petrol,1st,"1,73,799"
Maruti Zen Estilo LXI,Hyderabad,2009,"40,517",Petrol,2nd,"2,43,599"
Maruti Alto K10 VXI AMT,Hyderabad,2016,"47,897",Petrol,2nd,"3,36,099"
Datsun Go Plus T,Hyderabad,2016,"48,716",Petrol,1st,"2,89,699"
Hyundai Santro Xing GLS LPG,Hyderabad,2010,"73,539",Petrol + LPG,1st,"2,52,199"
Maruti Alto 800 LXI,Hyderabad,2016,"47,318",Petrol,1st,"2,78,999"
Hyundai i10 MAGNA 1.2,Hyderabad,2009,"66,427",Petrol,2nd,"2,32,999"
Hyundai Santro Xing GL PLUS,Hyderabad,2011,"88,720",Petrol,1st,"2,52,299"
Maruti Alto K10 VXI,Hyderabad,2017,"84,937",Petrol,1st,"3,19,699"
Hyundai Santro Xing GLS,Hyderabad,2009,"31,094",Petrol,1st,"2,07,199"
Maruti Swift VXI,Hyderabad,2013,"64,113",Petrol,2nd,"4,00,999"
Maruti Eeco 5 STR WITH AC PLUSHTR,Hyderabad,2019,"18,951",Petrol,1st,"4,35,199"
Maruti Ciaz DELTA 1.5 SHVS VVT,Hyderabad,2018,"21,411",Petrol,1st,"7,59,699"
Maruti Dzire VXI AMT,Hyderabad,2018,"42,575",Petrol,1st,"6,35,799"
Hyundai Santro Xing XO ERLX EURO III,Hyderabad,2007,"52,521",Petrol,2nd,"1,68,299"
Maruti Swift VDI,Hyderabad,2016,"43,630",Diesel,2nd,"5,24,799"
Maruti Wagon R 1.0 VXI,Hyderabad,2018,"31,946",Petrol,1st,"4,20,699"
Hyundai Santro Xing GLS,Hyderabad,2007,"38,392",Petrol,1st,"2,00,499"
Hyundai i10 ERA,Hyderabad,2008,"63,040",Petrol,2nd,"2,23,999"
Hyundai Eon ERA PLUS,Hyderabad,2017,"69,319",Petrol,1st,"3,04,899"
Hyundai i10 SPORTZ 1.2,Hyderabad,2010,"95,704",Petrol,3rd,"2,75,699"
Maruti Celerio ZXI OPT AMT,Hyderabad,2017,"43,167",Petrol,2nd,"4,43,999"
Hyundai Eon MAGNA PLUS,Hyderabad,2013,"63,929",Petrol,2nd,"2,57,499"
Hyundai i20 ASTA 1.2,Hyderabad,2011,"82,173",Petrol,1st,"3,65,899"
Hyundai i10 ERA 1.1 IRDE,Hyderabad,2009,"67,325",Petrol,2nd,"2,47,299"
Maruti Alto LXI,Hyderabad,2009,"89,568",Petrol,1st,"1,64,899"
Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2013,"87,911",Petrol,2nd,"3,12,499"
Maruti Alto 800 LXI,Hyderabad,2019,"29,700",Petrol,2nd,"3,30,099"
Maruti Wagon R 1.0 VXI ABS AIR BAG,Hyderabad,2011,"1,04,293",Petrol,2nd,"2,56,499"
Maruti Alto LXI,Hyderabad,2009,"74,115",Petrol,2nd,"1,79,699"
Maruti Swift VXI,Hyderabad,2011,"78,238",Petrol,1st,"3,87,499"
Maruti Baleno ZETA 1.2 K12,Hyderabad,2018,"33,478",Petrol,1st,"6,12,699"
Maruti Alto K10 LXI,Hyderabad,2012,"81,759",Petrol,2nd,"2,11,499"
Maruti Baleno ALPHA 1.2 K12,Hyderabad,2017,"51,082",Petrol,1st,"6,39,399"
Maruti Alto 800 LXI,Hyderabad,2018,"42,143",Petrol,1st,"3,21,799"
Volkswagen Polo Trendline 1.0 L Petrol,Hyderabad,2019,"33,610",Petrol,2nd,"5,56,399"
Hyundai Santro Xing GLS,Hyderabad,2013,"68,484",Petrol,1st,"2,89,899"
Maruti Swift Dzire VXI 1.2 BS IV,Hyderabad,2015,"62,147",Petrol,1st,"5,29,799"
Honda Brio 1.2 V MT I VTEC,Hyderabad,2012,"77,714",Petrol,2nd,"3,54,199"
Maruti Alto 800 LXI,Hyderabad,2019,"34,886",Petrol,1st,"2,99,999"
Hyundai i10 ERA,Hyderabad,2007,"86,145",Petrol,2nd,"2,38,599"
Maruti Swift Dzire VXI 1.2 BS IV,Hyderabad,2015,"78,713",Petrol,1st,"5,35,999"
Maruti Alto 800 LXI OPT,Hyderabad,2018,"33,607",Petrol,1st,"3,10,499"
Hyundai Elite i20 ASTA 1.2 (O),Hyderabad,2019,"24,466",Petrol,1st,"7,37,899"
Hyundai i10 SPORTZ 1.2 AT KAPPA2,Hyderabad,2011,"1,16,395",Petrol,1st,"3,71,999"
Maruti Swift ZDI,Hyderabad,2012,"77,838",Diesel,2nd,"4,58,399"
Maruti Alto LXI,Hyderabad,2012,"50,011",Petrol,2nd,"2,47,299"
Maruti Wagon R 1.0 LXI CNG,Hyderabad,2012,"82,535",Petrol + CNG,1st,"2,99,899"
Hyundai i10 SPORTZ 1.2 KAPPA2,Hyderabad,2011,"92,151",Petrol,1st,"3,13,299"
