,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
1279,Maruti Wagon R 1.0 VXI,Mumbai,2014,"49,738",Petrol,2nd,"2,93,599"
1280,Maruti Dzire VXI AMT,Mumbai,2017,"17,868",Petrol,1st,"5,91,599"
1281,Nissan Sunny XL DIESEL,Mumbai,2012,"80,292",Diesel,2nd,"2,63,499"
1282,Maruti Swift Dzire VDI BS IV,Mumbai,2010,"84,008",Diesel,2nd,"2,78,999"
1283,Hyundai i10 SPORTZ 1.2 AT KAPPA2,Mumbai,2012,"69,848",Petrol,1st,"3,00,699"
1284,Maruti Ertiga ZDI,Mumbai,2014,"69,092",Diesel,1st,"6,39,199"
1285,Hyundai i20 SPORTZ 1.4 CRDI,Mumbai,2013,"88,809",Diesel,1st,"3,73,499"
1286,Toyota Etios VD SP,Mumbai,2013,"96,343",Diesel,2nd,"3,65,699"
1287,Hyundai Verna FLUIDIC 1.4 CRDI CX,Mumbai,2014,"74,024",Diesel,2nd,"4,26,299"
1288,Maruti Swift Dzire VDI BS IV,Mumbai,2011,"1,21,167",Diesel,1st,"3,34,399"
1289,Toyota Etios V,Mumbai,2011,"1,70,425",Petrol,1st,"2,37,499"
1290,Hyundai Creta 1.6 SX (O) CRDI,Mumbai,2015,"99,645",Diesel,1st,"7,65,899"
1291,Maruti Swift Dzire VDI BS IV,Mumbai,2013,"1,25,310",Diesel,1st,"4,17,599"
1292,Honda Amaze 1.2 EXMT I VTEC,Mumbai,2015,"1,62,610",Petrol,1st,"3,25,699"
1293,Honda Amaze 1.5 VXMT I DTEC,Mumbai,2013,"1,98,155",Diesel,1st,"3,01,399"
1294,Toyota Etios Liva VD LIMITED EDITION,Mumbai,2016,"1,11,428",Diesel,1st,"4,29,899"
1295,Maruti Swift LXI,Mumbai,2010,"54,882",Petrol,1st,"2,35,499"
1296,Nissan Micra XV PETROL,Mumbai,2011,"48,380",Petrol,2nd,"1,90,499"
1297,Renault Kwid RXL,Mumbai,2015,"32,547",Petrol,1st,"2,38,099"
1298,Hyundai Eon ERA PLUS,Mumbai,2014,"8,083",Petrol,1st,"2,55,299"
1299,Honda City SV CVT PETROL,Mumbai,2014,"47,015",Petrol,2nd,"5,33,899"
1300,Maruti Swift VXI 1.3,Mumbai,2008,"75,701",Petrol,2nd,"1,72,699"
1301,Chevrolet Cruze LTZ AT,Mumbai,2012,"81,058",Diesel,2nd,"3,81,999"
1302,Ford Ecosport 1.5 TITANIUMTDCI OPT,Mumbai,2013,"82,137",Diesel,1st,"4,06,399"
1303,Skoda Superb ELEGANCE 1.8 TSI AT,Mumbai,2009,"1,03,426",Petrol,1st,"2,31,799"
1304,Nissan Terrano XL PLUS 85 PS DEISEL,Mumbai,2014,"94,590",Diesel,1st,"4,52,399"
