,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
149,Maruti Wagon R 1.0 VXI,Pune,2014,"69,438",Petrol,1st,"3,11,199"
150,Volkswagen Polo HIGHLINE1.2L PETROL,Pune,2015,"65,084",Petrol,2nd,"5,23,699"
151,Maruti Swift ZDI,Pune,2012,"98,558",Diesel,1st,"3,93,599"
152,Maruti Swift Dzire VDI BS IV,Pune,2012,"1,02,985",Diesel,2nd,"3,91,199"
153,Hyundai i10 SPORTZ 1.2 KAPPA2,Pune,2011,"1,22,668",Petrol,1st,"2,14,599"
154,Maruti Swift LXI,Pune,2011,"1,67,878",Petrol,2nd,"2,45,699"
155,Toyota Corolla Altis D 4D GL,Pune,2010,"1,07,778",Diesel,1st,"3,71,599"
156,Maruti Wagon R 1.0 LXI CNG,Pune,2013,"92,864",Petrol + CNG,1st,"2,90,999"
157,Maruti Ritz VDI,Pune,2012,"1,09,285",Diesel,1st,"3,13,199"
158,Tata NEXON XM 1.5,Pune,2018,"85,891",Diesel,1st,"6,94,899"
159,Hyundai Verna FLUIDIC 1.6 SX VTVT,Pune,2014,"88,958",Petrol,1st,"5,07,799"
160,Ford Figo 1.4 TITANIUM DURATORQ,Pune,2011,"1,21,729",Diesel,1st,"2,51,599"
161,Mercedes Benz C Class 250 CDI ELEGANCE AT,Pune,2011,"1,03,047",Diesel,3rd,"7,37,799"
162,Maruti Wagon R 1.0 LXI,Pune,2015,"1,02,809",Petrol,1st,"3,04,399"
163,Tata Hexa Varicor 400 XTA,Pune,2017,"30,763",Diesel,1st,"12,28,799"
164,Maruti Ertiga VDI SHVS,Pune,2016,"88,230",Diesel,1st,"6,85,499"
165,Maruti Ritz VDI,Pune,2012,"1,04,517",Diesel,1st,"2,99,099"
166,Maruti Swift VDI,Pune,2009,"1,63,408",Diesel,1st,"2,54,199"
167,Maruti Swift Dzire ZDI,Pune,2012,"1,10,866",Diesel,1st,"5,05,699"
168,Tata Zest XMS QUADRAJET 90PS,Pune,2014,"1,12,959",Diesel,1st,"3,54,699"
169,Honda Amaze 1.5 SX MT I DTEC,Pune,2014,"1,13,188",Diesel,1st,"3,42,199"
170,Volkswagen Polo HIGHLINE1.2L PETROL,Pune,2015,"84,079",Petrol,1st,"4,52,699"
171,Volkswagen Jetta HIGHLINE TDI AT,Pune,2015,"99,815",Diesel,1st,"10,36,399"
172,Mahindra XUV500 W8 FWD,Pune,2014,"84,226",Diesel,1st,"6,75,599"
173,Maruti Celerio VXI,Pune,2014,"99,942",Petrol,1st,"3,49,999"
174,Jaguar XF 2.2 DIESEL,Pune,2015,"80,937",Diesel,1st,"17,44,199"
175,Maruti Swift ZDI,Pune,2014,"1,20,062",Diesel,1st,"4,68,099"
176,Honda Amaze 1.5 SMT I DTEC,Pune,2013,"1,16,584",Diesel,1st,"3,03,699"
177,Maruti Swift VDI,Pune,2010,"1,38,352",Diesel,1st,"2,92,599"
178,Maruti Celerio VXI CNG,Pune,2015,"1,22,289",Petrol + CNG,2nd,"3,51,499"
179,Honda Brio 1.2 VX MT I VTEC,Pune,2014,"1,41,973",Petrol,1st,"3,08,399"
180,Maruti Swift Dzire VDI BS IV,Pune,2012,"1,36,000",Diesel,1st,"4,28,499"
181,Maruti Swift VDI,Pune,2011,"1,81,733",Diesel,1st,"3,52,999"
182,Volkswagen Vento COMFORTLINE DIESEL,Pune,2013,"1,46,692",Diesel,1st,"3,69,299"
183,Maruti Swift ZDI,Pune,2014,"1,33,435",Diesel,3rd,"4,70,899"
184,Maruti Swift ZDI,Pune,2013,"1,62,143",Diesel,2nd,"4,12,299"
185,Ford Figo 1.4 TITANIUM DURATORQ,Pune,2011,"1,63,480",Diesel,2nd,"2,40,199"
186,Toyota Corolla Altis VL AT,Pune,2014,"60,481",Petrol,1st,"8,93,699"
187,Maruti Ertiga VDI SHVS,Pune,2016,"1,30,191",Diesel,1st,"6,82,699"
188,Toyota Innova 2.5 G4 7 STR,Pune,2010,"2,25,134",Diesel,2nd,"4,44,699"
189,Mercedes Benz CLA Class CLA 200 CDI SPORT,Pune,2015,"1,09,092",Diesel,2nd,"16,79,399"
190,Skoda Yeti ACTIVE 2.0 TDI 4X2,Pune,2012,"1,27,844",Diesel,1st,"3,97,699"
191,BMW 5 Series 520D 2.0,Pune,2013,"1,75,025",Diesel,1st,"13,17,699"
192,Maruti Swift VDI ABS,Pune,2014,"1,45,027",Diesel,1st,"4,42,599"
193,Maruti Celerio VXI,Pune,2014,"1,01,361",Petrol,2nd,"3,45,999"
194,Maruti Ciaz VDI+ SHVS,Pune,2016,"1,41,441",Diesel,1st,"5,31,299"
195,Maruti Baleno DELTA DDIS 190,Pune,2016,"1,62,864",Diesel,1st,"5,07,399"
196,Toyota Fortuner 3.0 MT 4X2,Pune,2012,"1,28,749",Diesel,1st,"9,84,199"
197,Hyundai i10 SPORTZ 1.1 IRDE2,Pune,2014,"24,244",Petrol,2nd,"2,73,299"
198,Maruti Celerio VXI AMT,Pune,2014,"19,510",Petrol,2nd,"3,45,399"
199,Honda Civic 1.8V AT,Pune,2010,"58,455",Petrol,2nd,"2,87,399"
200,Volkswagen Polo HIGHLINE1.2L PETROL,Pune,2015,"44,708",Petrol,1st,"4,94,799"
201,Maruti Swift VXI,Pune,2013,"62,532",Petrol,1st,"4,03,199"
202,Maruti Baleno ZETA 1.2 K12,Pune,2019,"14,664",Petrol,1st,"7,03,799"
203,Hyundai Grand i10 SPORTS 1.2 VTVT,Pune,2018,"35,973",Petrol,1st,"4,54,599"
204,Volkswagen Vento HIGHLINE DIESEL,Pune,2012,"1,09,149",Diesel,3rd,"3,00,299"
205,Hyundai Santro Xing GL PLUS LPG,Pune,2012,"1,18,882",Petrol + LPG,3rd,"1,86,499"
206,Hyundai i20 SPORTZ 1.4 CRDI,Pune,2013,"2,14,799",Diesel,1st,"3,38,199"
