,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
99,Toyota Etios Liva D 4D GD,Delhi,2015,"64,927",Diesel,1st,"4,34,099"
100,Maruti Swift VDI ABS,Delhi,2017,"68,792",Diesel,1st,"4,91,099"
101,Maruti Swift Dzire VDI BS IV,Delhi,2013,"64,867",Diesel,1st,"3,39,999"
102,Toyota Innova 2.5 GX 7 STR BS IV,Delhi,2013,"46,674",Diesel,1st,"6,04,799"
103,Maruti Swift Dzire VXI,Delhi,2008,"89,412",Petrol,2nd,"1,77,899"
104,Maruti Swift Dzire ZDI,Delhi,2013,"67,598",Diesel,2nd,"3,97,399"
105,Maruti Ritz VXI,Delhi,2009,"62,936",Petrol,1st,"2,39,799"
106,Maruti Swift VDI,Delhi,2013,"68,546",Diesel,1st,"3,51,899"
107,Toyota Etios Liva GD,Delhi,2013,"67,401",Diesel,1st,"3,02,099"
108,Maruti Swift VDI,Delhi,2012,"76,353",Diesel,1st,"3,08,299"
109,Maruti Swift VDI,Delhi,2013,"67,011",Diesel,1st,"3,45,399"
110,Maruti Alto 800 LXI,Delhi,2015,"50,024",Petrol,1st,"2,69,199"
111,Maruti Swift LXI,Delhi,2012,"67,752",Petrol,2nd,"3,11,899"
112,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Delhi,2016,"73,912",Petrol,1st,"3,94,899"
113,Maruti Swift Dzire VDI BS IV,Delhi,2013,"62,602",Diesel,1st,"3,46,199"
114,Maruti Swift VDI,Delhi,2013,"66,350",Diesel,1st,"3,11,399"
115,Maruti Zen Estilo LXI,Delhi,2010,"66,275",Petrol,2nd,"1,85,199"
116,Hyundai i10 SPORTZ 1.2 KAPPA2,Delhi,2011,"53,077",Petrol,1st,"2,66,099"
117,Maruti Ritz VXI BS IV,Delhi,2011,"59,945",Petrol,3rd,"2,67,499"
118,Maruti Swift VDI,Delhi,2012,"1,15,605",Diesel,1st,"2,85,999"
119,Renault Duster 85 PS RXL OPT,Delhi,2013,"93,113",Diesel,1st,"4,15,799"
120,Maruti Swift Dzire VDI BS IV,Delhi,2012,"75,004",Diesel,1st,"2,90,099"
121,Maruti Swift VDI,Delhi,2014,"71,382",Diesel,1st,"3,52,599"
122,Maruti Swift VDI,Delhi,2014,"72,597",Diesel,1st,"3,60,899"
123,Maruti Swift VDI,Delhi,2014,"70,681",Diesel,2nd,"3,45,399"
124,Maruti A Star VXI,Delhi,2009,"81,050",Petrol,2nd,"1,69,599"
125,Maruti Swift Dzire LDI BS IV,Delhi,2013,"72,772",Diesel,1st,"2,82,499"
126,Maruti Swift Dzire VDI BS IV,Delhi,2014,"79,282",Diesel,1st,"3,89,399"
127,Maruti Ritz VDI,Delhi,2013,"70,687",Diesel,1st,"2,78,899"
128,Maruti Ritz VDI,Delhi,2013,"66,549",Diesel,1st,"3,05,699"
129,Maruti Swift Dzire VDI BS IV,Delhi,2012,"79,776",Diesel,1st,"3,40,999"
130,Maruti Swift Dzire ZDI,Delhi,2012,"79,396",Diesel,1st,"3,58,799"
131,Maruti SX4 VXI,Delhi,2008,"68,597",Petrol,2nd,"1,79,999"
132,Maruti Swift VDI,Delhi,2013,"70,684",Diesel,1st,"3,34,999"
133,Maruti Swift LDI BS IV,Delhi,2013,"75,493",Diesel,1st,"3,01,499"
134,Maruti Swift VDI,Delhi,2012,"84,213",Diesel,1st,"3,17,399"
