,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
142,Maruti Ritz VDI Elate Limited Edition,Chandigarh,2014,"29,959",Diesel,1st,"3,79,699"
143,Maruti Alto 800 VXI,Chandigarh,2014,"38,526",Petrol,2nd,"2,24,099"
144,Maruti Swift LXI,Chandigarh,2012,"31,999",Petrol,1st,"3,20,999"
145,Maruti Alto 800 VXI,Chandigarh,2014,"37,134",Petrol,1st,"2,56,399"
146,Maruti Swift Dzire VXI 1.2 BS IV,Chandigarh,2014,"34,580",Petrol,1st,"4,11,799"
147,Maruti Alto K10 LXI,Chandigarh,2014,"31,013",Petrol,1st,"2,43,499"
148,Maruti Alto 800 LXI,Chandigarh,2014,"16,339",Petrol,1st,"2,29,099"
149,Maruti Alto K10 VXI,Chandigarh,2016,"27,250",Petrol,2nd,"2,80,099"
150,Maruti Swift VDI,Chandigarh,2014,"44,528",Diesel,1st,"3,69,999"
151,Ford Figo 1.2 TITANIUM DURATEC,Chandigarh,2015,"31,800",Petrol,1st,"3,59,299"
152,Maruti Alto 800 VXI,Chandigarh,2014,"42,796",Petrol,1st,"2,42,099"
153,Maruti Alto K10 LXI,Chandigarh,2012,"33,175",Petrol,1st,"2,42,999"
154,Datsun Redi Go S,Chandigarh,2016,"21,191",Petrol,1st,"2,54,599"
155,Maruti Alto 800 LXI,Chandigarh,2018,"15,838",Petrol,1st,"3,18,799"
156,Maruti Ritz ZXI,Chandigarh,2010,"41,832",Petrol,1st,"2,51,999"
157,Maruti Swift VDI,Chandigarh,2013,"45,014",Diesel,1st,"3,57,099"
158,Maruti Alto LXI,Chandigarh,2020,"9,641",Petrol,1st,"3,29,999"
159,Maruti Alto 800 LXI,Chandigarh,2013,"50,250",Petrol,1st,"1,96,599"
160,Maruti Swift VDI,Chandigarh,2013,"45,478",Diesel,1st,"3,29,299"
161,Maruti Alto LXI,Chandigarh,2011,"38,478",Petrol,1st,"1,88,099"
162,Maruti Swift Dzire VDI BS IV,Chandigarh,2013,"39,947",Diesel,1st,"4,02,599"
163,Maruti Swift Dzire ZXI 1.3,Chandigarh,2010,"45,983",Petrol,1st,"3,01,699"
164,Hyundai Grand i10 MAGNA 1.2 VTVT,Chandigarh,2018,"25,666",Petrol,1st,"4,56,399"
165,Maruti Alto K10 LXI,Chandigarh,2016,"32,519",Petrol,1st,"2,97,699"
166,Hyundai Eon MAGNA PLUS,Chandigarh,2015,"44,875",Petrol,1st,"2,75,299"
167,Maruti Alto 800 LXI,Chandigarh,2016,"21,305",Petrol,1st,"3,21,999"
168,Hyundai Grand i10 MAGNA 1.2 VTVT,Chandigarh,2018,"24,808",Petrol,1st,"4,47,499"
169,Hyundai Grand i10 MAGNA 1.2 VTVT,Chandigarh,2013,"43,986",Petrol,1st,"3,89,499"
170,Maruti Wagon R 1.0 LXI,Chandigarh,2015,"41,796",Petrol,3rd,"2,79,399"
171,Maruti Swift VDI,Chandigarh,2012,"47,140",Diesel,1st,"3,29,299"
172,Maruti Zen Estilo LXI,Chandigarh,2010,"54,844",Petrol,2nd,"1,71,099"
173,Maruti Alto K10 VXI,Chandigarh,2018,"3,212",Petrol,1st,"3,70,099"
174,Maruti Ritz ZXI ABS,Chandigarh,2012,"39,650",Petrol,1st,"2,91,599"
175,Hyundai i10 SPORTZ 1.2 KAPPA2,Chandigarh,2010,"35,644",Petrol,1st,"2,81,099"
176,Maruti Swift Dzire ZDI,Chandigarh,2012,"52,072",Diesel,1st,"3,60,499"
177,Maruti Swift VXI 1.3,Chandigarh,2009,"28,685",Petrol,1st,"2,09,599"
178,Maruti Alto K10 LXI,Chandigarh,2016,"41,948",Petrol,1st,"2,78,999"
179,Maruti Alto K10 VXI,Chandigarh,2015,"57,955",Petrol,1st,"2,74,199"
180,Maruti Swift LDI BS IV,Chandigarh,2015,"59,648",Diesel,1st,"3,68,499"
181,Maruti Alto LXI,Chandigarh,2009,"35,919",Petrol,1st,"1,71,699"
182,Maruti Swift VDI,Chandigarh,2013,"50,647",Diesel,2nd,"3,42,499"
183,Maruti Swift VDI ABS,Chandigarh,2015,"59,849",Diesel,1st,"4,31,699"
184,Maruti Swift VDI,Chandigarh,2013,"60,133",Diesel,1st,"3,50,799"
185,Hyundai Grand i10 SPORTZ 1.1 CRDI,Chandigarh,2015,"46,392",Diesel,1st,"3,42,399"
186,Maruti Swift VDI,Chandigarh,2013,"58,850",Diesel,1st,"3,35,099"
187,Nissan Terrano XV 110 DIESEL,Chandigarh,2013,"47,811",Diesel,1st,"4,82,299"
188,Maruti Alto LXI,Chandigarh,2020,"18,509",Petrol,1st,"3,14,099"
