,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
117,Maruti Swift Dzire VXI 1.2 BS IV,Chennai,2013,"41,318",Petrol,2nd,"4,22,899"
118,Maruti Swift Dzire VXI 1.2 BS IV,Chennai,2012,"68,105",Petrol,1st,"4,11,899"
119,Maruti Wagon R 1.0 VXI,Chennai,2017,"40,381",Petrol,1st,"3,94,199"
120,Hyundai i20 Active 1.2 S,Chennai,2015,"48,628",Petrol,1st,"5,67,699"
121,Honda City SV MT PETROL,Chennai,2016,"30,590",Petrol,2nd,"6,29,499"
122,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Chennai,2015,"46,243",Petrol,2nd,"4,02,199"
123,Volkswagen Polo COMFORTLINE 1.2L PETROL,Chennai,2015,"42,503",Petrol,2nd,"4,29,899"
124,Honda Amaze 1.5 EXMT I DTEC,Chennai,2014,"45,821",Diesel,1st,"4,43,099"
125,Maruti Ritz VDI,Chennai,2012,"65,116",Diesel,1st,"3,41,399"
126,Maruti Wagon R 1.0 VXI,Chennai,2011,"72,997",Petrol,2nd,"2,94,499"
127,Hyundai i10 SPORTZ 1.2 KAPPA2,Chennai,2011,"54,960",Petrol,1st,"3,44,199"
128,Maruti Alto K10 VXI AMT,Chennai,2016,"49,350",Petrol,3rd,"3,66,299"
129,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Chennai,2018,"32,269",Petrol,1st,"5,28,999"
130,Maruti Wagon R 1.0 VXI,Chennai,2013,"57,595",Petrol,2nd,"3,64,799"
131,Maruti Swift ZXI,Chennai,2014,"12,720",Petrol,1st,"4,93,199"
132,Maruti Wagon R Duo LXI LPG,Chennai,2009,"50,928",Petrol + LPG,3rd,"2,31,799"
133,Hyundai Eon MAGNA PLUS,Chennai,2016,"42,946",Petrol,2nd,"2,84,199"
134,Hyundai Elite i20 SPORTZ 1.2,Chennai,2017,"27,987",Petrol,1st,"6,33,099"
135,Maruti Swift Dzire VXI 1.2 BS IV,Chennai,2012,"68,292",Petrol,1st,"4,06,799"
136,Maruti Swift VXI,Chennai,2017,"35,330",Petrol,1st,"5,81,299"
137,Maruti Celerio VXI,Chennai,2019,"13,079",Petrol,1st,"4,95,699"
138,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Chennai,2018,"26,972",Petrol,2nd,"5,53,999"
139,Renault Kwid RXT 1.0 EASY-R  AT,Chennai,2017,"35,519",Petrol,2nd,"3,71,099"
140,Maruti Ritz VXI BS IV,Chennai,2010,"57,709",Petrol,2nd,"2,97,399"
141,Hyundai Eon MAGNA PLUS,Chennai,2016,"41,675",Petrol,3rd,"2,86,399"
142,Maruti Wagon R 1.0 VXI PLUS AMT,Chennai,2018,"16,640",Petrol,1st,"4,85,099"
143,Maruti Alto LXI,Chennai,2012,"58,963",Petrol,1st,"2,10,099"
144,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT OPT,Chennai,2016,"45,345",Petrol,2nd,"4,68,899"
145,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Chennai,2015,"50,398",Petrol,2nd,"4,24,099"
146,Renault Kwid RXT,Chennai,2017,"42,259",Petrol,2nd,"3,41,399"
147,Maruti Alto 800 LXI,Chennai,2014,"54,447",Petrol,2nd,"2,75,799"
148,Maruti Wagon R 1.0 VXI,Chennai,2013,"50,429",Petrol,1st,"3,38,199"
149,Maruti Alto K10 VXI AMT,Chennai,2015,"49,884",Petrol,1st,"3,51,499"
150,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Chennai,2017,"8,643",Petrol,1st,"4,92,799"
151,Maruti Swift Dzire VXI 1.2 BS IV,Chennai,2015,"47,445",Petrol,1st,"4,67,699"
152,Volkswagen Polo HIGHLINE1.2L PETROL,Chennai,2015,"57,417",Petrol,2nd,"4,78,099"
153,Hyundai i10 MAGNA 1.2,Chennai,2009,"63,988",Petrol,2nd,"2,58,299"
154,Mahindra TUV300 T8,Chennai,2016,"58,384",Diesel,1st,"6,42,399"
155,Maruti Celerio VXI AMT,Chennai,2015,"59,398",Petrol,2nd,"3,83,399"
156,Hyundai i10 ERA 1.1 IRDE,Chennai,2010,"69,119",Petrol,1st,"2,45,399"
157,Maruti IGNIS DELTA 1.2 K12,Chennai,2019,"1,278",Petrol,1st,"6,00,499"
158,Maruti Alto K10 LXI,Chennai,2011,"80,046",Petrol,1st,"2,47,699"
159,Maruti Eeco 5 STR WITH AC PLUSHTR,Chennai,2019,"23,791",Petrol,1st,"4,03,999"
160,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Chennai,2018,"15,116",Petrol,1st,"5,49,899"
161,Maruti Baleno ALPHA 1.2 K12,Chennai,2016,"29,711",Petrol,1st,"6,21,499"
162,Maruti Alto 800 LXI,Chennai,2018,"29,975",Petrol,2nd,"2,88,399"
163,Honda City V MT PETROL,Chennai,2014,"72,910",Petrol,1st,"5,87,899"
164,Maruti IGNIS DELTA 1.2 K12,Chennai,2018,"15,813",Petrol,1st,"5,13,399"
165,Hyundai i10 SPORTZ 1.2 AT,Chennai,2010,"64,666",Petrol,1st,"3,25,599"
166,Maruti Baleno DELTA 1.2 K12,Chennai,2018,"11,258",Petrol,1st,"5,97,099"
167,Maruti Swift VXI,Chennai,2017,"35,774",Petrol,1st,"5,43,299"
168,Maruti Swift VXI AMT,Chennai,2019,"24,494",Petrol,1st,"6,77,199"
169,Maruti Swift ZXI AMT,Chennai,2018,"23,096",Petrol,1st,"6,22,599"
170,Maruti Baleno DELTA 1.2 K12,Chennai,2018,"24,627",Petrol,1st,"5,85,899"
171,Maruti Swift VDI,Chennai,2013,"61,781",Diesel,2nd,"3,96,199"
172,Maruti Swift VXI OPT,Chennai,2017,"42,061",Petrol,1st,"5,26,999"
173,Maruti Swift VXI,Chennai,2018,"13,962",Petrol,1st,"5,82,299"
174,Maruti Alto K10 VXI,Chennai,2017,"64,778",Petrol,1st,"3,17,499"
175,Maruti Swift VXI,Chennai,2015,"53,667",Petrol,1st,"4,89,099"
176,Hyundai Grand i10 SPORTZ (O) 1.2 AT VTVT,Chennai,2018,"18,363",Petrol,1st,"5,51,399"
177,Maruti Eeco 5 STR WITH AC PLUSHTR,Chennai,2020,"9,375",Petrol,1st,"4,67,999"
178,Maruti Alto 800 LXI,Chennai,2016,"47,745",Petrol,1st,"2,97,199"
179,Maruti Eeco 5 STR WITH AC PLUSHTR,Chennai,2020,"13,447",Petrol,1st,"4,25,199"
180,Hyundai i20 SPORTZ 1.4 CRDI,Chennai,2013,"69,617",Diesel,1st,"3,53,499"
181,Maruti Swift LDI,Chennai,2008,"55,640",Diesel,1st,"2,82,399"
182,Tata Tiago XZ 1.2 REVOTRON,Chennai,2018,"38,458",Petrol,1st,"4,67,599"
183,Maruti Wagon R 1.0 VXI,Chennai,2012,"81,727",Petrol,1st,"3,01,099"
184,Maruti Alto 800 LXI,Chennai,2014,"65,487",Petrol,1st,"2,46,299"
185,Honda City SV MT PETROL,Chennai,2016,"41,776",Petrol,2nd,"6,26,899"
186,Maruti Ertiga VDI ABS,Chennai,2015,"45,803",Diesel,2nd,"6,23,199"
187,Maruti Swift VXI,Chennai,2015,"55,562",Petrol,1st,"4,58,699"
188,Honda City V MT PETROL,Chennai,2013,"74,119",Petrol,2nd,"5,05,999"
189,Fiat Grand Punto DYNAMIC 1.3,Chennai,2014,"63,424",Diesel,2nd,"2,94,599"
190,Hyundai i10 MAGNA 1.2 KAPPA2,Chennai,2012,"71,853",Petrol,2nd,"3,07,799"
191,Maruti Alto 800 LXI,Chennai,2014,"56,719",Petrol,1st,"2,86,799"
192,Hyundai Elite i20 SPORTZ 1.2,Chennai,2018,"10,893",Petrol,1st,"6,24,799"
193,Maruti IGNIS DELTA 1.2 K12,Chennai,2018,"8,854",Petrol,1st,"5,32,399"
194,Hyundai Santro Xing GL PLUS,Chennai,2011,"87,908",Petrol,1st,"2,49,099"
195,Maruti Alto K10 VXI OPT,Chennai,2018,"35,899",Petrol,1st,"3,94,799"
196,Hyundai i10 MAGNA 1.2 KAPPA2,Chennai,2010,"80,382",Petrol,1st,"2,53,499"
197,Hyundai i10 SPORTZ 1.2,Chennai,2009,"71,005",Petrol,1st,"2,38,899"
198,Maruti Wagon R 1.0 VXI,Chennai,2017,"82,239",Petrol,1st,"4,21,199"
199,Maruti Swift VXI,Chennai,2019,"1,890",Petrol,2nd,"6,21,799"
200,Maruti Celerio VXI,Chennai,2018,"53,793",Petrol,1st,"4,66,699"
201,Honda City S MT PETROL,Chennai,2010,"79,065",Petrol,1st,"3,86,199"
202,Maruti Swift Dzire VDI BS IV,Chennai,2012,"68,873",Diesel,1st,"4,26,999"
203,Maruti Ciaz ALPHA 1.4 VVT AMT,Chennai,2017,"46,847",Petrol,1st,"7,11,499"
204,Maruti Swift VXI,Chennai,2019,"18,293",Petrol,1st,"6,45,399"
205,Maruti Alto K10 VXI,Chennai,2013,"68,748",Petrol,1st,"2,66,699"
206,Hyundai Elite i20 ASTA 1.2,Chennai,2017,"36,416",Petrol,1st,"6,40,399"
207,Honda Jazz 1.2 S MT,Chennai,2018,"29,265",Petrol,1st,"6,28,899"
208,Hyundai i10 ERA 1.1 IRDE,Chennai,2009,"60,648",Petrol,1st,"2,41,899"
209,Hyundai i10 SPORTZ 1.2,Chennai,2010,"73,206",Petrol,3rd,"2,99,499"
210,Maruti Alto 800 LXI,Chennai,2013,"64,676",Petrol,1st,"2,10,999"
211,Renault Lodgy 110 PS RXZ 8 STR,Chennai,2015,"10,220",Diesel,1st,"6,93,699"
212,Maruti Ritz VDI,Chennai,2012,"70,091",Diesel,2nd,"3,00,499"
213,Honda City S MT PETROL,Chennai,2011,"75,872",Petrol,2nd,"4,24,299"
214,Maruti Swift VXI,Chennai,2014,"78,309",Petrol,1st,"4,31,799"
215,Hyundai Elite i20 ASTA 1.2,Chennai,2015,"52,695",Petrol,1st,"5,48,599"
216,Maruti Wagon R Duo LXI LPG,Chennai,2009,"77,083",Petrol + LPG,2nd,"2,16,599"
217,Toyota Etios V,Chennai,2011,"1,05,407",Petrol,3rd,"3,62,199"
218,Hyundai Grand i10 MAGNA 1.2 VTVT,Chennai,2017,"56,527",Petrol,1st,"4,63,099"
219,Volkswagen Polo COMFORTLINE 1.5L DIESEL,Chennai,2015,"63,114",Diesel,1st,"4,80,599"
220,Volkswagen Polo GT TSI 1.2 PETROL AT,Chennai,2017,"35,885",Petrol,1st,"7,18,999"
221,Volkswagen Polo COMFORTLINE 1.2L PETROL,Chennai,2017,"44,883",Petrol,2nd,"4,60,799"
222,Hyundai Grand i10 MAGNA 1.2 VTVT,Chennai,2018,"19,266",Petrol,1st,"4,77,899"
223,Maruti Ertiga VDI ABS,Chennai,2013,"68,679",Diesel,1st,"6,10,299"
224,Volkswagen Ameo COMFORTLINE 1.2,Chennai,2017,"48,014",Petrol,1st,"4,72,599"
225,Honda Amaze 1.2 SX MT I VTEC,Chennai,2016,"62,024",Petrol,1st,"4,97,099"
226,Hyundai i20 Active 1.2 S,Chennai,2015,"59,078",Petrol,2nd,"5,81,699"
227,Nissan Micra XL CVT (PETROL),Chennai,2015,"60,375",Petrol,1st,"4,37,799"
228,Hyundai i20 MAGNA O 1.2,Chennai,2011,"82,861",Petrol,1st,"3,16,599"
229,Maruti Alto LXI,Chennai,2012,"74,535",Petrol,1st,"2,61,499"
230,Maruti A Star ZXI,Chennai,2009,"82,747",Petrol,3rd,"1,80,999"
231,Hyundai i20 MAGNA 1.4 CRDI,Chennai,2013,"67,636",Diesel,1st,"4,05,699"
232,Hyundai Xcent SX 1.1 CRDI OPT,Chennai,2014,"65,293",Diesel,2nd,"4,58,499"
233,Toyota Corolla Altis G,Chennai,2013,"68,214",Petrol,1st,"4,95,399"
234,Hyundai GRAND I10 NIOS Asta Petrol,Chennai,2019,"9,850",Petrol,1st,"6,97,599"
235,Ford Ecosport 1.5TITANIUM TDCI,Chennai,2017,"67,270",Diesel,2nd,"6,73,899"
236,Maruti Celerio ZXI AMT,Chennai,2016,"57,563",Petrol,1st,"4,11,699"
237,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Chennai,2015,"66,908",Petrol,2nd,"4,02,299"
238,Maruti Dzire VDI,Chennai,2018,"48,029",Diesel,1st,"6,97,699"
239,Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,Chennai,2014,"1,10,322",Petrol,1st,"3,60,799"
240,Hyundai i20 ASTA 1.4 AT O WITH SUNROOF,Chennai,2009,"67,319",Petrol,3rd,"2,76,899"
241,Maruti Wagon R 1.0 VXI,Chennai,2011,"78,170",Petrol,1st,"3,32,499"
242,Maruti Swift VDI ABS,Chennai,2015,"65,160",Diesel,2nd,"4,62,899"
243,Hyundai Santro Xing GL PLUS LPG,Chennai,2011,"90,676",Petrol + LPG,2nd,"1,99,199"
244,Honda Jazz 1.2 VX AT,Chennai,2019,"5,183",Petrol,1st,"9,46,199"
245,Maruti Swift VDI ABS,Chennai,2015,"73,530",Diesel,1st,"4,69,099"
246,Maruti Swift VXI,Chennai,2019,"19,508",Petrol,1st,"6,04,099"
247,Hyundai Elite i20 SPORTZ 1.2,Chennai,2017,"58,193",Petrol,1st,"5,48,599"
248,Renault Kwid RXT,Chennai,2016,"62,491",Petrol,1st,"3,38,699"
249,Maruti Baleno DELTA 1.2 K12,Chennai,2017,"47,186",Petrol,2nd,"5,48,799"
250,Hyundai i10 SPORTZ 1.2 KAPPA2,Chennai,2013,"74,657",Petrol,3rd,"3,36,999"
251,Maruti Swift Dzire VDI BS IV,Chennai,2012,"1,04,833",Diesel,3rd,"4,42,499"
252,Nissan Micra XL CVT (PETROL),Chennai,2018,"44,945",Petrol,1st,"4,90,799"
253,Maruti Swift VDI,Chennai,2013,"88,137",Diesel,2nd,"4,47,699"
254,Hyundai Creta 1.6 SX CRDI,Chennai,2018,"47,876",Diesel,1st,"10,89,399"
255,Ford Ecosport 1.5TITANIUM TDCI,Chennai,2019,"22,633",Diesel,1st,"9,22,399"
256,Mahindra XUV500 W10 FWD,Chennai,2017,"50,239",Diesel,1st,"11,96,199"
257,Toyota Etios Liva GD,Chennai,2012,"1,11,086",Diesel,1st,"4,07,499"
258,Hyundai Santro Xing XL ERLX EURO III,Chennai,2007,"71,079",Petrol,1st,"1,86,999"
259,Mahindra TUV300 T6+,Chennai,2018,"20,045",Diesel,1st,"7,18,099"
260,Maruti Swift Dzire VDI BS IV,Chennai,2015,"74,575",Diesel,1st,"5,18,299"
261,Jeep Compass 2.0 LIMITED,Chennai,2017,"24,303",Diesel,1st,"15,45,799"
262,Maruti Wagon R VXI,Chennai,2012,"78,694",Petrol,1st,"2,79,499"
263,Hyundai i20 MAGNA 1.2 VTVT,Chennai,2009,"75,811",Petrol,2nd,"3,24,999"
264,Honda Brio 1.2 S MT I VTEC,Chennai,2013,"73,968",Petrol,2nd,"3,14,699"
265,Maruti Ciaz DELTA 1.3 DDIS SHVS,Chennai,2018,"72,536",Diesel,1st,"6,50,699"
266,Maruti Swift Dzire VDI BS IV,Chennai,2014,"83,907",Diesel,1st,"4,71,299"
267,Honda Amaze 1.5 SMT I DTEC,Chennai,2014,"71,933",Diesel,1st,"4,58,199"
268,Maruti Ritz ZDI,Chennai,2015,"95,891",Diesel,1st,"4,05,499"
269,Maruti Swift LXI,Chennai,2018,"58,696",Petrol,1st,"4,87,099"
270,Hyundai i20 SPORTZ 1.2 VTVT,Chennai,2012,"83,448",Petrol,1st,"4,06,699"
271,Hyundai Grand i10 ASTA 1.2 VTVT,Chennai,2014,"99,721",Petrol,1st,"4,33,799"
272,Hyundai Verna FLUIDIC 1.6 CRDI SX OPT AT,Chennai,2012,"90,495",Diesel,1st,"4,94,299"
273,Volkswagen Polo HIGHLINE1.2L PETROL,Chennai,2017,"82,331",Petrol,1st,"5,51,699"
274,Maruti Swift Dzire LDI BS IV,Chennai,2015,"77,000",Diesel,1st,"4,92,699"
275,Maruti Dzire VDI AMT,Chennai,2017,"66,343",Diesel,1st,"6,04,799"
276,Maruti Celerio ZXI AMT,Chennai,2016,"83,735",Petrol,1st,"4,35,699"
