,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
610,Maruti Swift Dzire ZDI,Bengaluru,2012,"1,02,509",Diesel,1st,"4,77,999"
611,Honda City V MT PETROL,Bengaluru,2015,"38,614",Petrol,1st,"6,50,799"
612,Hyundai i10 MAGNA 1.2 KAPPA2,Bengaluru,2010,"97,299",Petrol,1st,"2,87,999"
613,Maruti Swift VXI 1.3,Bengaluru,2008,"35,089",Petrol,1st,"2,97,099"
614,Maruti Celerio ZXI OPT,Bengaluru,2019,"19,006",Petrol,1st,"5,08,999"
615,Maruti Ertiga ZDI SHVS,Bengaluru,2015,"40,604",Diesel,1st,"7,56,699"
616,Renault Duster 85 PS RXL,Bengaluru,2015,"54,713",Diesel,1st,"6,65,599"
617,Hyundai Elite i20 ASTA 1.2 (O),Bengaluru,2018,"12,581",Petrol,1st,"7,75,699"
618,Hyundai i10 ERA 1.1 IRDE,Bengaluru,2012,"69,377",Petrol,1st,"3,30,699"
619,Hyundai Verna FLUIDIC 1.6 SX VTVT,Bengaluru,2013,"49,259",Petrol,1st,"5,56,399"
620,Maruti Swift VXI AMT,Bengaluru,2018,"9,948",Petrol,2nd,"6,19,399"
621,Maruti Swift VDI ABS,Bengaluru,2017,"81,736",Diesel,1st,"5,42,099"
622,Hyundai Elite i20 1.4 CRDI ASTA (O),Bengaluru,2016,"46,454",Diesel,1st,"7,07,399"
623,Ford New Figo 1.5 TITANIUM,Bengaluru,2015,"78,202",Diesel,2nd,"4,99,299"
624,Maruti Swift LXI,Bengaluru,2019,"3,430",Petrol,1st,"5,30,999"
625,Maruti Ertiga VDI ABS,Bengaluru,2015,"51,013",Diesel,1st,"6,93,699"
626,Hyundai Santro Xing GL PLUS,Bengaluru,2013,"71,938",Petrol,3rd,"2,53,399"
627,Maruti Wagon R LXI,Bengaluru,2007,"47,752",Petrol,2nd,"1,82,699"
