,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
112,Hyundai Santro Xing GLS,Hyderabad,2007,"38,392",Petrol,1st,"2,00,499"
113,Hyundai i10 ERA,Hyderabad,2008,"63,040",Petrol,2nd,"2,23,999"
114,Hyundai Eon ERA PLUS,Hyderabad,2017,"69,319",Petrol,1st,"3,04,899"
115,Hyundai i10 SPORTZ 1.2,Hyderabad,2010,"95,704",Petrol,3rd,"2,75,699"
116,Maruti Celerio ZXI OPT AMT,Hyderabad,2017,"43,167",Petrol,2nd,"4,43,999"
117,Hyundai Eon MAGNA PLUS,Hyderabad,2013,"63,929",Petrol,2nd,"2,57,499"
118,Hyundai i20 ASTA 1.2,Hyderabad,2011,"82,173",Petrol,1st,"3,65,899"
119,Hyundai i10 ERA 1.1 IRDE,Hyderabad,2009,"67,325",Petrol,2nd,"2,47,299"
120,Maruti Alto LXI,Hyderabad,2009,"89,568",Petrol,1st,"1,64,899"
121,Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2013,"87,911",Petrol,2nd,"3,12,499"
122,Maruti Alto 800 LXI,Hyderabad,2019,"29,700",Petrol,2nd,"3,30,099"
123,Maruti Wagon R 1.0 VXI ABS AIR BAG,Hyderabad,2011,"1,04,293",Petrol,2nd,"2,56,499"
124,Maruti Alto LXI,Hyderabad,2009,"74,115",Petrol,2nd,"1,79,699"
125,Maruti Swift VXI,Hyderabad,2011,"78,238",Petrol,1st,"3,87,499"
126,Maruti Baleno ZETA 1.2 K12,Hyderabad,2018,"33,478",Petrol,1st,"6,12,699"
127,Maruti Alto K10 LXI,Hyderabad,2012,"81,759",Petrol,2nd,"2,11,499"
128,Maruti Baleno ALPHA 1.2 K12,Hyderabad,2017,"51,082",Petrol,1st,"6,39,399"
129,Maruti Alto 800 LXI,Hyderabad,2018,"42,143",Petrol,1st,"3,21,799"
130,Volkswagen Polo Trendline 1.0 L Petrol,Hyderabad,2019,"33,610",Petrol,2nd,"5,56,399"
131,Hyundai Santro Xing GLS,Hyderabad,2013,"68,484",Petrol,1st,"2,89,899"
132,Maruti Swift Dzire VXI 1.2 BS IV,Hyderabad,2015,"62,147",Petrol,1st,"5,29,799"
133,Honda Brio 1.2 V MT I VTEC,Hyderabad,2012,"77,714",Petrol,2nd,"3,54,199"
134,Maruti Alto 800 LXI,Hyderabad,2019,"34,886",Petrol,1st,"2,99,999"
135,Hyundai i10 ERA,Hyderabad,2007,"86,145",Petrol,2nd,"2,38,599"
136,Maruti Swift Dzire VXI 1.2 BS IV,Hyderabad,2015,"78,713",Petrol,1st,"5,35,999"
137,Maruti Alto 800 LXI OPT,Hyderabad,2018,"33,607",Petrol,1st,"3,10,499"
138,Hyundai Elite i20 ASTA 1.2 (O),Hyderabad,2019,"24,466",Petrol,1st,"7,37,899"
139,Hyundai i10 SPORTZ 1.2 AT KAPPA2,Hyderabad,2011,"1,16,395",Petrol,1st,"3,71,999"
140,Maruti Swift ZDI,Hyderabad,2012,"77,838",Diesel,2nd,"4,58,399"
141,Maruti Alto LXI,Hyderabad,2012,"50,011",Petrol,2nd,"2,47,299"
142,Maruti Wagon R 1.0 LXI CNG,Hyderabad,2012,"82,535",Petrol + CNG,1st,"2,99,899"
143,Hyundai i10 SPORTZ 1.2 KAPPA2,Hyderabad,2011,"92,151",Petrol,1st,"3,13,299"
144,Maruti Celerio ZXI AMT,Hyderabad,2016,"60,903",Petrol,2nd,"4,19,099"
145,Maruti Wagon R 1.0 LXI LPG,Hyderabad,2012,"83,889",Petrol + LPG,2nd,"3,06,699"
146,Maruti Wagon R 1.0 LXI CNG,Hyderabad,2012,"79,870",Petrol + CNG,1st,"3,09,399"
147,Maruti Zen Estilo LXI,Hyderabad,2009,"95,532",Petrol,2nd,"2,08,599"
148,Hyundai i10 SPORTZ 1.2,Hyderabad,2008,"89,270",Petrol,1st,"2,60,699"
149,Honda Jazz 1.2 V AT,Hyderabad,2016,"69,309",Petrol,2nd,"5,94,299"
150,Maruti Swift VXI 1.3,Hyderabad,2008,"95,854",Petrol,2nd,"2,58,599"
151,Maruti Baleno ALPHA DDIS 190,Hyderabad,2018,"60,058",Diesel,2nd,"7,27,299"
152,Maruti Dzire VDI,Hyderabad,2018,"44,380",Diesel,1st,"7,36,699"
153,Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2011,"93,562",Petrol,2nd,"2,81,999"
154,Maruti Baleno ALPHA DDIS 190,Hyderabad,2018,"64,442",Diesel,1st,"7,02,199"
155,Maruti Swift Dzire VDI BS IV,Hyderabad,2013,"85,864",Diesel,2nd,"4,84,399"
156,Maruti Alto K10 LXI,Hyderabad,2010,"1,02,362",Petrol,2nd,"1,84,899"
157,Honda City 1.5 V MT,Hyderabad,2019,"11,500",Petrol,1st,"9,32,099"
158,Maruti Dzire VDI,Hyderabad,2017,"73,075",Diesel,2nd,"5,94,499"
159,Hyundai Creta 1.6 SX AT CRDI,Hyderabad,2019,"16,992",Diesel,1st,"14,34,299"
160,Hyundai i10 SPORTZ 1.2,Hyderabad,2010,"88,741",Petrol,2nd,"2,91,299"
161,Maruti Alto K10 LXI,Hyderabad,2010,"1,01,672",Petrol,1st,"1,90,599"
162,Honda City ZX CVT ANNIVERSARY EDITION,Hyderabad,2018,"55,357",Petrol,1st,"10,21,499"
163,Honda City VX CVT PETROL,Hyderabad,2017,"89,362",Petrol,1st,"8,76,999"
164,Honda City V MT PETROL,Hyderabad,2012,"87,615",Petrol,1st,"4,62,199"
165,Hyundai i10 SPORTZ 1.2,Hyderabad,2010,"95,991",Petrol,2nd,"2,41,399"
166,Maruti Swift VDI,Hyderabad,2013,"1,08,649",Diesel,1st,"4,02,599"
167,Hyundai Santro Xing GLS,Hyderabad,2009,"1,05,529",Petrol,1st,"1,72,299"
168,Hyundai Elite i20 SPORTZ 1.2,Hyderabad,2017,"87,864",Petrol,2nd,"5,99,699"
169,Maruti Celerio VXI AMT,Hyderabad,2016,"98,377",Petrol,1st,"3,83,699"
170,Honda City V AT,Hyderabad,2010,"1,67,063",Petrol,1st,"4,05,699"
171,Hyundai Eon MAGNA PLUS,Hyderabad,2015,"82,502",Petrol,1st,"2,89,199"
172,Maruti Vitara Brezza ZDI AMT,Hyderabad,2019,"37,775",Diesel,1st,"8,81,399"
173,Hyundai i10 SPORTZ 1.2 KAPPA2,Hyderabad,2011,"1,12,315",Petrol,2nd,"3,11,399"
174,Hyundai Elite i20 ASTA 1.2,Hyderabad,2016,"88,256",Petrol,1st,"5,38,499"
175,Maruti Alto 800 LXI,Hyderabad,2013,"80,448",Petrol,1st,"2,35,899"
176,Maruti Alto K10 VXI,Hyderabad,2012,"94,205",Petrol,2nd,"2,77,599"
177,Volkswagen Vento HIGHLINE DIESEL,Hyderabad,2013,"80,714",Diesel,2nd,"4,88,599"
178,Hyundai Creta 1.6 SX PLUS DIESEL,Hyderabad,2015,"55,867",Diesel,1st,"8,70,299"
179,Maruti Baleno ALPHA DDIS 190,Hyderabad,2018,"74,535",Diesel,1st,"7,08,899"
180,Maruti Ritz VDI,Hyderabad,2012,"1,36,808",Diesel,1st,"3,00,999"
181,Maruti Swift Dzire ZXI 1.2 BS IV,Hyderabad,2015,"1,06,675",Petrol,1st,"5,26,799"
182,Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2010,"1,19,179",Petrol,1st,"2,25,699"
183,Maruti Alto K10 VXI,Hyderabad,2010,"1,03,152",Petrol,1st,"2,00,199"
184,Hyundai Elite i20 SPORTZ 1.2,Hyderabad,2016,"88,860",Petrol,1st,"5,78,599"
185,Maruti Ritz VDI,Hyderabad,2011,"1,14,828",Diesel,2nd,"3,07,499"
186,Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2011,"1,16,983",Petrol,2nd,"2,45,499"
187,Maruti Swift VDI,Hyderabad,2012,"1,09,445",Diesel,2nd,"4,00,399"
188,Maruti Wagon R Duo LXI LPG,Hyderabad,2009,"1,97,377",Petrol + LPG,1st,"1,71,999"
189,Maruti Alto K10 VXI,Hyderabad,2013,"81,944",Petrol,1st,"2,47,099"
190,Hyundai i20 MAGNA O 1.4 CRDI,Hyderabad,2012,"1,07,848",Diesel,2nd,"3,75,099"
191,Maruti Alto LXI,Hyderabad,2009,"1,55,996",Petrol + LPG,1st,"1,67,599"
192,Maruti Ritz LDI,Hyderabad,2012,"1,02,870",Diesel,2nd,"2,94,999"
193,Maruti Alto 800 LXI CNG,Hyderabad,2012,"1,03,748",Petrol + CNG,1st,"2,48,499"
194,Maruti Wagon R 1.0 VXI,Hyderabad,2012,"1,05,694",Petrol,1st,"3,23,899"
195,Maruti Swift Dzire VXI 1.2 BS IV,Hyderabad,2012,"1,12,871",Petrol,1st,"4,00,599"
196,Maruti Swift VDI ABS,Hyderabad,2016,"82,732",Diesel,2nd,"4,99,899"
197,Maruti Wagon R LXI,Hyderabad,2007,"1,17,899",Petrol,2nd,"1,77,599"
198,Maruti Alto LXI,Hyderabad,2011,"1,18,602",Petrol,1st,"2,09,399"
199,Hyundai Santro Xing GLS,Hyderabad,2010,"1,07,657",Petrol,1st,"2,36,799"
200,Hyundai Elite i20 SPORTZ 1.2,Hyderabad,2017,"97,090",Petrol,1st,"5,93,999"
201,Maruti Swift VDI,Hyderabad,2010,"1,15,217",Diesel,2nd,"3,20,799"
202,Hyundai i10 SPORTZ 1.2 KAPPA2,Hyderabad,2012,"1,14,748",Petrol,1st,"2,85,499"
203,Maruti Vitara Brezza VDI OPT,Hyderabad,2017,"1,08,339",Diesel,1st,"6,57,699"
204,Maruti Swift VDI ABS,Hyderabad,2015,"98,101",Diesel,1st,"4,70,599"
205,Hyundai Creta 1.6 SX CRDI,Hyderabad,2016,"76,226",Diesel,1st,"9,79,599"
206,Maruti Swift Dzire VXI 1.2 BS IV,Hyderabad,2015,"1,07,589",Petrol,1st,"5,20,199"
207,Maruti Swift ZDI,Hyderabad,2012,"1,01,039",Diesel,1st,"4,51,199"
208,Maruti Swift Dzire VDI BS IV,Hyderabad,2015,"97,036",Diesel,1st,"5,14,899"
209,Maruti Swift Dzire VXI 1.2 BS IV,Hyderabad,2015,"1,01,946",Petrol,2nd,"5,01,899"
210,Maruti Ciaz ALPHA 1.3 DDIS SHVS,Hyderabad,2017,"1,10,150",Diesel,1st,"7,42,699"
211,Hyundai Xcent S 1.2,Hyderabad,2015,"91,984",Petrol,1st,"4,00,999"
